id,condition,perceived_alt,actC_avg_m_alt,actC_avg_p_alt,actC_avg_a_alt,actMO_avg_m_alt,actMO_avg_s_alt,actMO_avg_e_alt,actMO_avg_o_alt,perceived_self,actC_avg_m_self,actC_avg_p_self,actC_avg_a_self,actMO_avg_m_self,actMO_avg_s_self,actMO_avg_e_self,actMO_avg_o_self,rt,alt_comp_e,alt_comp_m,alt_comp_o,alt_comp_s,alt_comp
126,3,4.833333333,4.75,4.875,4.875,5.333333333,4.333333333,4.166666667,5.5,4.458333333,4.125,4.625,4.625,4.666666667,4.666666667,5.166666667,3.333333333,5.9495,-0.5,0.333333333,1.083333333,-0.166666667,0.1875
127,1,9.333333333,9.25,9.375,9.375,,,,,1.458333333,1.5,1.625,1.25,,,,,7.74725,,,,,3.9375
128,2,6.4,6.4,6.2,6.6,3.333333333,3.666666667,7.666666667,9.666666667,4.8,5.6,4.6,4.2,7,7,3.666666667,2.666666667,16.4392,2,-1.833333333,3.5,-1.666666667,0.8
129,2,5.541666667,5.75,5.75,5.125,5.333333333,6.166666667,5,5.666666667,5.375,5.25,5.5,5.375,6,4.833333333,5.166666667,5.5,1.087625,-0.083333333,-0.333333333,0.083333333,0.666666667,0.083333333
130,3,6.541666667,7.625,6.25,5.75,4,7,7,8.166666667,0.958333333,0.75,0.75,1.375,3.333333333,0.333333333,0.166666667,0,15.87375,3.416666667,0.333333333,4.083333333,3.333333333,2.791666667
131,3,8,8,8,8,6.833333333,9,9.5,6.666666667,1.708333333,1.5,2.125,1.5,1.5,1,0.5,3.833333333,14.571375,4.5,2.666666667,1.416666667,4,3.145833333
132,2,5.333333333,5.875,4.625,5.5,3.5,1.5,8.666666667,7.666666667,4.75,4.5,5.875,3.875,7.5,7.833333333,2,1.666666667,7.6505,3.333333333,-2,3,-3.166666667,0.291666667
133,2,8.25,8.375,7.5,8.875,8.333333333,7.5,7.833333333,9.333333333,1.208333333,0.75,1.75,1.125,2.333333333,0.833333333,0.833333333,0.833333333,4.74725,3.5,3,4.25,3.333333333,3.520833333
134,1,9.375,9.375,9.375,9.375,,,,,0,0,0,0,,,,,4.1095,,,,,4.6875
135,3,7.875,7.75,7.75,8.125,7.5,7.666666667,8.5,7.833333333,0,0,0,0,0,0,0,0,7.30175,4.25,3.75,3.916666667,3.833333333,3.9375
136,3,3.75,3.5,3.625,4.125,2.666666667,1.833333333,4.833333333,5.666666667,2.583333333,3.125,2.75,1.875,3.166666667,3.166666667,2.166666667,1.833333333,14.311875,1.333333333,-0.25,1.916666667,-0.666666667,0.583333333
137,3,7.708333333,7.625,7.875,7.625,7.666666667,7.666666667,7.666666667,7.833333333,2.625,2.75,2.625,2.5,2.666666667,2.666666667,2.5,2.666666667,6.953125,2.583333333,2.5,2.583333333,2.5,2.541666667
138,1,4.666666667,4.25,4.75,5,,,,,1.791666667,1.5,1.875,2,,,,,7.817125,,,,,1.4375
139,3,9.791666667,9.625,9.75,10,9.166666667,10,10,10,0.125,0.125,0.25,0,0.5,0,0,0,12.580375,5,4.333333333,5,5,4.833333333
140,1,7.625,7.375,7.5,8,,,,,1.416666667,1.5,1.375,1.375,,,,,6.8255,,,,,3.104166667
141,3,9.166666667,9.25,9.125,9.125,9.5,9.5,8.166666667,9.5,0,0,0,0,0,0,0,0,31.573125,4.083333333,4.75,4.75,4.75,4.583333333
142,1,8.75,8.25,8.75,9.25,,,,,0.25,0.5,0.125,0.125,,,,,7.75525,,,,,4.25
143,2,7.041666667,7.375,6.5,7.25,3.166666667,5.5,9.5,10,3.5,3.375,4.125,3,8.833333333,4.833333333,0.166666667,0.166666667,12.044125,4.666666667,-2.833333333,4.916666667,0.333333333,1.770833333
144,1,5.833333333,6,5.5,6,,,,,0.708333333,0.75,0.875,0.5,,,,,5.738,,,,,2.5625
145,3,3.791666667,4.25,4.375,2.75,6.5,2.666666667,4.833333333,1.166666667,2.416666667,1.875,2.875,2.5,3.333333333,4.833333333,0.5,1,13.9755,2.166666667,1.583333333,0.083333333,-1.083333333,0.6875
146,1,8.75,7.75,9.25,9.25,,,,,0,0,0,0,,,,,13.178875,,,,,4.375
147,3,9.708333333,9.875,9.375,9.875,8.833333333,10,10,10,0.291666667,0.125,0.625,0.125,1.166666667,0,0,0,14.041,5,3.833333333,5,5,4.708333333
148,1,5.333333333,5.375,5.75,4.875,,,,,0.791666667,0.5,1,0.875,,,,,6.35425,,,,,2.270833333
149,1,8.75,8.625,8.875,8.75,,,,,0.291666667,0.375,0.25,0.25,,,,,10.840875,,,,,4.229166667
150,3,2.375,2.375,2.375,2.375,3,3.333333333,1.5,1.666666667,2.416666667,2.375,2.375,2.5,3,3.666666667,1.333333333,1.666666667,5.37525,0.083333333,0,0,-0.166666667,-0.020833333
