"","id","condition","perceived_alt","actCN_avg_m_alt","actCN_avg_p_alt","actCN_avg_a_alt","actMO_avg_m_alt","actMO_avg_s_alt","actMO_avg_e_alt","actMO_avg_o_alt","rt","alt_comp_e","alt_comp_m","alt_comp_o","alt_comp_s","alt_comp"
"143",143,4,0.916666666666667,0.75,1.375,0.625,NA,NA,NA,NA,13.446,NA,NA,NA,NA,0.916666666666667
"144",144,4,2.375,2.5,2.375,2.25,NA,NA,NA,NA,15.10075,NA,NA,NA,NA,2.375
"145",145,2,0.708333333333333,0.375,1,0.75,0.166666666666667,1,0.833333333333333,0.833333333333333,4.60525,0.833333333333333,0.166666666666667,0.833333333333333,1,0.708333333333333
"146",146,4,0,-0.375,0.25,0.125,NA,NA,NA,NA,15.57075,NA,NA,NA,NA,0
"147",147,4,0.25,0.125,0.25,0.375,NA,NA,NA,NA,27.252625,NA,NA,NA,NA,0.25
"148",148,3,0,0,0,0,0,0,0,0,23.759875,0,0,0,0,0
"149",149,1,2.875,3,2.625,3,NA,NA,NA,NA,14.491375,NA,NA,NA,NA,2.875
"150",150,3,1.375,1.875,0.875,1.375,-0.166666666666667,1.66666666666667,1.33333333333333,2.66666666666667,12.5095,1.33333333333333,-0.166666666666667,2.66666666666667,1.66666666666667,1.375
"151",151,4,-0.625,-1.125,0,-0.75,NA,NA,NA,NA,8.094,NA,NA,NA,NA,-0.625
"152",152,1,2.75,2.375,2.75,3.125,NA,NA,NA,NA,9.372125,NA,NA,NA,NA,2.75
"154",154,2,1.70833333333333,2,1.375,1.75,0.333333333333333,-3.5,5,5,29.209625,5,0.333333333333333,5,-3.5,1.70833333333333
"155",155,3,4.20833333333333,4,4,4.625,4.33333333333333,3.83333333333333,4.33333333333333,4.33333333333333,12.166625,4.33333333333333,4.33333333333333,4.33333333333333,3.83333333333333,4.20833333333333
"156",156,1,4.58333333333333,4.875,4.125,4.75,NA,NA,NA,NA,6.47375,NA,NA,NA,NA,4.58333333333333
"157",157,1,2.20833333333333,2.125,2.375,2.125,NA,NA,NA,NA,3.793125,NA,NA,NA,NA,2.20833333333333
"158",158,3,4.5,4.375,4.625,4.5,4,4.16666666666667,5,4.83333333333333,30.942625,5,4,4.83333333333333,4.16666666666667,4.5
"159",159,2,-0.416666666666667,-0.625,0,-0.625,-3.83333333333333,-2.66666666666667,-0.166666666666667,5,12.365875,-0.166666666666667,-3.83333333333333,5,-2.66666666666667,-0.416666666666667
"160",160,4,0.125,0.375,0.375,-0.375,NA,NA,NA,NA,14.06975,NA,NA,NA,NA,0.125
"161",161,1,4.75,4.75,4.75,4.75,NA,NA,NA,NA,21.3265,NA,NA,NA,NA,4.75
"162",162,3,3.20833333333333,3.125,3.375,3.125,1.66666666666667,4.5,2.16666666666667,4.5,12.980875,2.16666666666667,1.66666666666667,4.5,4.5,3.20833333333333
"163",163,2,-0.166666666666667,0.125,-0.375,-0.25,-4.33333333333333,-1.83333333333333,2,3.5,7.778375,2,-4.33333333333333,3.5,-1.83333333333333,-0.166666666666667
"164",164,4,-2.54166666666667,-4.125,0,-3.5,NA,NA,NA,NA,9.290625,NA,NA,NA,NA,-2.54166666666667
"165",165,4,0.333333333333333,0.875,0.625,-0.5,NA,NA,NA,NA,1.821,NA,NA,NA,NA,0.333333333333333
"166",166,3,-3.5,-3.5,-3.5,-3.5,-2.5,-3.5,-4,-4,5.31625,-4,-2.5,-4,-3.5,-3.5
"167",167,1,3.75,3.625,3.875,3.75,NA,NA,NA,NA,12.012,NA,NA,NA,NA,3.75
"168",168,2,1.79166666666667,1.625,2.125,1.625,-0.666666666666667,0.666666666666667,2.16666666666667,5,8.191875,2.16666666666667,-0.666666666666667,5,0.666666666666667,1.79166666666667
"169",169,2,1.16666666666667,0.875,1.75,0.875,-4.5,0,3.5,5.66666666666667,47.468125,3.5,-4.5,5.66666666666667,0,1.16666666666667
"170",170,1,0,0,0,0,NA,NA,NA,NA,14.935,NA,NA,NA,NA,0
"171",171,1,2.75,2.625,2.875,2.75,NA,NA,NA,NA,8.630125,NA,NA,NA,NA,2.75
"172",172,2,0.625,0.75,0.5,0.625,-3.5,-3.16666666666667,4.33333333333333,4.83333333333333,17.410875,4.33333333333333,-3.5,4.83333333333333,-3.16666666666667,0.625
"173",173,3,4.20833333333333,4.125,4.25,4.25,4.5,4.5,3.83333333333333,4,13.40275,3.83333333333333,4.5,4,4.5,4.20833333333333
"174",174,3,2.125,1.5,2.375,2.5,2.5,1.66666666666667,2.5,1.83333333333333,108.819625,2.5,2.5,1.83333333333333,1.66666666666667,2.125
"175",175,4,-0.791666666666667,-1.375,0.375,-1.375,NA,NA,NA,NA,21.328875,NA,NA,NA,NA,-0.791666666666667
"176",176,3,-1.25,-2.375,0,-1.375,-1,-1.83333333333333,-0.833333333333333,-1.33333333333333,6.41575,-0.833333333333333,-1,-1.33333333333333,-1.83333333333333,-1.25
"177",177,4,-2.79166666666667,-4.125,0,-4.25,NA,NA,NA,NA,29.547375,NA,NA,NA,NA,-2.79166666666667
"178",178,2,4.20833333333333,4.375,3.75,4.5,4.16666666666667,2.66666666666667,5,5,6.3295,5,4.16666666666667,5,2.66666666666667,4.20833333333333
"179",179,2,2.83333333333333,2.875,2.625,3,2.16666666666667,2.16666666666667,4,3,16.737625,4,2.16666666666667,3,2.16666666666667,2.83333333333333
"180",180,1,1.16666666666667,1,1.125,1.375,NA,NA,NA,NA,13.89375,NA,NA,NA,NA,1.16666666666667
